column,low_level_descriptor,value_or_delta,window_statistic,song_aggregation,description
jitterDDP_sma_stddev__std_over_time,jitterDDP,value,std,std,
jitterDDP_sma_amean__std_over_time,jitterDDP,value,mean,std,
shimmerLocal_sma_stddev__std_over_time,shimmerLocal,value,std,std,
shimmerLocal_sma_amean__std_over_time,shimmerLocal,value,mean,std,
logHNR_sma_stddev__std_over_time,logHNR,value,std,std,
logHNR_sma_amean__std_over_time,logHNR,value,mean,std,
audspec_lengthL1norm_sma_stddev__std_over_time,audspec_lengthL1norm,value,std,std,
audspec_lengthL1norm_sma_amean__std_over_time,audspec_lengthL1norm,value,mean,std,
audspecRasta_lengthL1norm_sma_stddev__std_over_time,audspecRasta_lengthL1norm,value,std,std,
audspecRasta_lengthL1norm_sma_amean__std_over_time,audspecRasta_lengthL1norm,value,mean,std,
pcm_RMSenergy_sma_stddev__std_over_time,pcm_RMSenergy,value,std,std,
pcm_RMSenergy_sma_amean__std_over_time,pcm_RMSenergy,value,mean,std,
pcm_zcr_sma_stddev__std_over_time,pcm_zcr,value,std,std,
pcm_zcr_sma_amean__std_over_time,pcm_zcr,value,mean,std,
audSpec_Rfilt_sma[0]_stddev__std_over_time,audSpec_Rfilt[0],value,std,std,
audSpec_Rfilt_sma[0]_amean__std_over_time,audSpec_Rfilt[0],value,mean,std,
audSpec_Rfilt_sma[1]_stddev__std_over_time,audSpec_Rfilt[1],value,std,std,
audSpec_Rfilt_sma[1]_amean__std_over_time,audSpec_Rfilt[1],value,mean,std,
audSpec_Rfilt_sma[2]_stddev__std_over_time,audSpec_Rfilt[2],value,std,std,
audSpec_Rfilt_sma[2]_amean__std_over_time,audSpec_Rfilt[2],value,mean,std,
audSpec_Rfilt_sma[3]_stddev__std_over_time,audSpec_Rfilt[3],value,std,std,
audSpec_Rfilt_sma[3]_amean__std_over_time,audSpec_Rfilt[3],value,mean,std,
audSpec_Rfilt_sma[4]_stddev__std_over_time,audSpec_Rfilt[4],value,std,std,
audSpec_Rfilt_sma[4]_amean__std_over_time,audSpec_Rfilt[4],value,mean,std,
audSpec_Rfilt_sma[5]_stddev__std_over_time,audSpec_Rfilt[5],value,std,std,
audSpec_Rfilt_sma[5]_amean__std_over_time,audSpec_Rfilt[5],value,mean,std,
audSpec_Rfilt_sma[6]_stddev__std_over_time,audSpec_Rfilt[6],value,std,std,
audSpec_Rfilt_sma[6]_amean__std_over_time,audSpec_Rfilt[6],value,mean,std,
audSpec_Rfilt_sma[7]_stddev__std_over_time,audSpec_Rfilt[7],value,std,std,
audSpec_Rfilt_sma[7]_amean__std_over_time,audSpec_Rfilt[7],value,mean,std,
audSpec_Rfilt_sma[8]_stddev__std_over_time,audSpec_Rfilt[8],value,std,std,
audSpec_Rfilt_sma[8]_amean__std_over_time,audSpec_Rfilt[8],value,mean,std,
audSpec_Rfilt_sma[9]_stddev__std_over_time,audSpec_Rfilt[9],value,std,std,
audSpec_Rfilt_sma[9]_amean__std_over_time,audSpec_Rfilt[9],value,mean,std,
audSpec_Rfilt_sma[10]_stddev__std_over_time,audSpec_Rfilt[10],value,std,std,
audSpec_Rfilt_sma[10]_amean__std_over_time,audSpec_Rfilt[10],value,mean,std,
audSpec_Rfilt_sma[11]_stddev__std_over_time,audSpec_Rfilt[11],value,std,std,
audSpec_Rfilt_sma[11]_amean__std_over_time,audSpec_Rfilt[11],value,mean,std,
audSpec_Rfilt_sma[12]_stddev__std_over_time,audSpec_Rfilt[12],value,std,std,
audSpec_Rfilt_sma[12]_amean__std_over_time,audSpec_Rfilt[12],value,mean,std,
audSpec_Rfilt_sma[13]_stddev__std_over_time,audSpec_Rfilt[13],value,std,std,
audSpec_Rfilt_sma[13]_amean__std_over_time,audSpec_Rfilt[13],value,mean,std,
audSpec_Rfilt_sma[14]_stddev__std_over_time,audSpec_Rfilt[14],value,std,std,
audSpec_Rfilt_sma[14]_amean__std_over_time,audSpec_Rfilt[14],value,mean,std,
audSpec_Rfilt_sma[15]_stddev__std_over_time,audSpec_Rfilt[15],value,std,std,
audSpec_Rfilt_sma[15]_amean__std_over_time,audSpec_Rfilt[15],value,mean,std,
audSpec_Rfilt_sma[16]_stddev__std_over_time,audSpec_Rfilt[16],value,std,std,
audSpec_Rfilt_sma[16]_amean__std_over_time,audSpec_Rfilt[16],value,mean,std,
audSpec_Rfilt_sma[17]_stddev__std_over_time,audSpec_Rfilt[17],value,std,std,
audSpec_Rfilt_sma[17]_amean__std_over_time,audSpec_Rfilt[17],value,mean,std,
audSpec_Rfilt_sma[18]_stddev__std_over_time,audSpec_Rfilt[18],value,std,std,
audSpec_Rfilt_sma[18]_amean__std_over_time,audSpec_Rfilt[18],value,mean,std,
audSpec_Rfilt_sma[19]_stddev__std_over_time,audSpec_Rfilt[19],value,std,std,
audSpec_Rfilt_sma[19]_amean__std_over_time,audSpec_Rfilt[19],value,mean,std,
audSpec_Rfilt_sma[20]_stddev__std_over_time,audSpec_Rfilt[20],value,std,std,
audSpec_Rfilt_sma[20]_amean__std_over_time,audSpec_Rfilt[20],value,mean,std,
audSpec_Rfilt_sma[21]_stddev__std_over_time,audSpec_Rfilt[21],value,std,std,
audSpec_Rfilt_sma[21]_amean__std_over_time,audSpec_Rfilt[21],value,mean,std,
audSpec_Rfilt_sma[22]_stddev__std_over_time,audSpec_Rfilt[22],value,std,std,
audSpec_Rfilt_sma[22]_amean__std_over_time,audSpec_Rfilt[22],value,mean,std,
audSpec_Rfilt_sma[23]_stddev__std_over_time,audSpec_Rfilt[23],value,std,std,
audSpec_Rfilt_sma[23]_amean__std_over_time,audSpec_Rfilt[23],value,mean,std,
audSpec_Rfilt_sma[24]_stddev__std_over_time,audSpec_Rfilt[24],value,std,std,
audSpec_Rfilt_sma[24]_amean__std_over_time,audSpec_Rfilt[24],value,mean,std,
audSpec_Rfilt_sma[25]_stddev__std_over_time,audSpec_Rfilt[25],value,std,std,
audSpec_Rfilt_sma[25]_amean__std_over_time,audSpec_Rfilt[25],value,mean,std,
pcm_fftMag_fband250-650_sma_stddev__std_over_time,pcm_fftMag_fband250-650,value,std,std,
pcm_fftMag_fband250-650_sma_amean__std_over_time,pcm_fftMag_fband250-650,value,mean,std,
pcm_fftMag_fband1000-4000_sma_stddev__std_over_time,pcm_fftMag_fband1000-4000,value,std,std,
pcm_fftMag_fband1000-4000_sma_amean__std_over_time,pcm_fftMag_fband1000-4000,value,mean,std,
pcm_fftMag_spectralRollOff25.0_sma_stddev__std_over_time,pcm_fftMag_spectralRollOff25.0,value,std,std,
pcm_fftMag_spectralRollOff25.0_sma_amean__std_over_time,pcm_fftMag_spectralRollOff25.0,value,mean,std,
pcm_fftMag_spectralRollOff50.0_sma_stddev__std_over_time,pcm_fftMag_spectralRollOff50.0,value,std,std,
pcm_fftMag_spectralRollOff50.0_sma_amean__std_over_time,pcm_fftMag_spectralRollOff50.0,value,mean,std,
pcm_fftMag_spectralRollOff75.0_sma_stddev__std_over_time,pcm_fftMag_spectralRollOff75.0,value,std,std,
pcm_fftMag_spectralRollOff75.0_sma_amean__std_over_time,pcm_fftMag_spectralRollOff75.0,value,mean,std,
pcm_fftMag_spectralRollOff90.0_sma_stddev__std_over_time,pcm_fftMag_spectralRollOff90.0,value,std,std,
pcm_fftMag_spectralRollOff90.0_sma_amean__std_over_time,pcm_fftMag_spectralRollOff90.0,value,mean,std,
pcm_fftMag_spectralFlux_sma_stddev__std_over_time,pcm_fftMag_spectralFlux,value,std,std,
pcm_fftMag_spectralFlux_sma_amean__std_over_time,pcm_fftMag_spectralFlux,value,mean,std,
pcm_fftMag_spectralCentroid_sma_stddev__std_over_time,pcm_fftMag_spectralCentroid,value,std,std,
pcm_fftMag_spectralCentroid_sma_amean__std_over_time,pcm_fftMag_spectralCentroid,value,mean,std,
pcm_fftMag_spectralEntropy_sma_stddev__std_over_time,pcm_fftMag_spectralEntropy,value,std,std,
pcm_fftMag_spectralEntropy_sma_amean__std_over_time,pcm_fftMag_spectralEntropy,value,mean,std,
pcm_fftMag_spectralVariance_sma_stddev__std_over_time,pcm_fftMag_spectralVariance,value,std,std,
pcm_fftMag_spectralVariance_sma_amean__std_over_time,pcm_fftMag_spectralVariance,value,mean,std,
pcm_fftMag_spectralSkewness_sma_stddev__std_over_time,pcm_fftMag_spectralSkewness,value,std,std,
pcm_fftMag_spectralSkewness_sma_amean__std_over_time,pcm_fftMag_spectralSkewness,value,mean,std,
pcm_fftMag_spectralKurtosis_sma_stddev__std_over_time,pcm_fftMag_spectralKurtosis,value,std,std,
pcm_fftMag_spectralKurtosis_sma_amean__std_over_time,pcm_fftMag_spectralKurtosis,value,mean,std,
pcm_fftMag_spectralSlope_sma_stddev__std_over_time,pcm_fftMag_spectralSlope,value,std,std,
pcm_fftMag_spectralSlope_sma_amean__std_over_time,pcm_fftMag_spectralSlope,value,mean,std,
pcm_fftMag_psySharpness_sma_stddev__std_over_time,pcm_fftMag_psySharpness,value,std,std,
pcm_fftMag_psySharpness_sma_amean__std_over_time,pcm_fftMag_psySharpness,value,mean,std,
pcm_fftMag_spectralHarmonicity_sma_stddev__std_over_time,pcm_fftMag_spectralHarmonicity,value,std,std,
pcm_fftMag_spectralHarmonicity_sma_amean__std_over_time,pcm_fftMag_spectralHarmonicity,value,mean,std,
pcm_fftMag_mfcc_sma[1]_stddev__std_over_time,pcm_fftMag_mfcc[1],value,std,std,
pcm_fftMag_mfcc_sma[1]_amean__std_over_time,pcm_fftMag_mfcc[1],value,mean,std,
pcm_fftMag_mfcc_sma[2]_stddev__std_over_time,pcm_fftMag_mfcc[2],value,std,std,
pcm_fftMag_mfcc_sma[2]_amean__std_over_time,pcm_fftMag_mfcc[2],value,mean,std,
pcm_fftMag_mfcc_sma[3]_stddev__std_over_time,pcm_fftMag_mfcc[3],value,std,std,
pcm_fftMag_mfcc_sma[3]_amean__std_over_time,pcm_fftMag_mfcc[3],value,mean,std,
pcm_fftMag_mfcc_sma[4]_stddev__std_over_time,pcm_fftMag_mfcc[4],value,std,std,
pcm_fftMag_mfcc_sma[4]_amean__std_over_time,pcm_fftMag_mfcc[4],value,mean,std,
pcm_fftMag_mfcc_sma[5]_stddev__std_over_time,pcm_fftMag_mfcc[5],value,std,std,
pcm_fftMag_mfcc_sma[5]_amean__std_over_time,pcm_fftMag_mfcc[5],value,mean,std,
pcm_fftMag_mfcc_sma[6]_stddev__std_over_time,pcm_fftMag_mfcc[6],value,std,std,
pcm_fftMag_mfcc_sma[6]_amean__std_over_time,pcm_fftMag_mfcc[6],value,mean,std,
pcm_fftMag_mfcc_sma[7]_stddev__std_over_time,pcm_fftMag_mfcc[7],value,std,std,
pcm_fftMag_mfcc_sma[7]_amean__std_over_time,pcm_fftMag_mfcc[7],value,mean,std,
pcm_fftMag_mfcc_sma[8]_stddev__std_over_time,pcm_fftMag_mfcc[8],value,std,std,
pcm_fftMag_mfcc_sma[8]_amean__std_over_time,pcm_fftMag_mfcc[8],value,mean,std,
pcm_fftMag_mfcc_sma[9]_stddev__std_over_time,pcm_fftMag_mfcc[9],value,std,std,
pcm_fftMag_mfcc_sma[9]_amean__std_over_time,pcm_fftMag_mfcc[9],value,mean,std,
pcm_fftMag_mfcc_sma[10]_stddev__std_over_time,pcm_fftMag_mfcc[10],value,std,std,
pcm_fftMag_mfcc_sma[10]_amean__std_over_time,pcm_fftMag_mfcc[10],value,mean,std,
pcm_fftMag_mfcc_sma[11]_stddev__std_over_time,pcm_fftMag_mfcc[11],value,std,std,
pcm_fftMag_mfcc_sma[11]_amean__std_over_time,pcm_fftMag_mfcc[11],value,mean,std,
pcm_fftMag_mfcc_sma[12]_stddev__std_over_time,pcm_fftMag_mfcc[12],value,std,std,
pcm_fftMag_mfcc_sma[12]_amean__std_over_time,pcm_fftMag_mfcc[12],value,mean,std,
pcm_fftMag_mfcc_sma[13]_stddev__std_over_time,pcm_fftMag_mfcc[13],value,std,std,
pcm_fftMag_mfcc_sma[13]_amean__std_over_time,pcm_fftMag_mfcc[13],value,mean,std,
pcm_fftMag_mfcc_sma[14]_stddev__std_over_time,pcm_fftMag_mfcc[14],value,std,std,
pcm_fftMag_mfcc_sma[14]_amean__std_over_time,pcm_fftMag_mfcc[14],value,mean,std,
F0final_sma_de_stddev__std_over_time,F0final,delta,std,std,
F0final_sma_de_amean__std_over_time,F0final,delta,mean,std,
voicingFinalUnclipped_sma_de_stddev__std_over_time,voicingFinalUnclipped,delta,std,std,
voicingFinalUnclipped_sma_de_amean__std_over_time,voicingFinalUnclipped,delta,mean,std,
jitterLocal_sma_de_stddev__std_over_time,jitterLocal,delta,std,std,
jitterLocal_sma_de_amean__std_over_time,jitterLocal,delta,mean,std,
jitterDDP_sma_de_stddev__std_over_time,jitterDDP,delta,std,std,
jitterDDP_sma_de_amean__std_over_time,jitterDDP,delta,mean,std,
shimmerLocal_sma_de_stddev__std_over_time,shimmerLocal,delta,std,std,
shimmerLocal_sma_de_amean__std_over_time,shimmerLocal,delta,mean,std,
logHNR_sma_de_stddev__std_over_time,logHNR,delta,std,std,
logHNR_sma_de_amean__std_over_time,logHNR,delta,mean,std,
audspec_lengthL1norm_sma_de_stddev__std_over_time,audspec_lengthL1norm,delta,std,std,
audspec_lengthL1norm_sma_de_amean__std_over_time,audspec_lengthL1norm,delta,mean,std,
audspecRasta_lengthL1norm_sma_de_stddev__std_over_time,audspecRasta_lengthL1norm,delta,std,std,
audspecRasta_lengthL1norm_sma_de_amean__std_over_time,audspecRasta_lengthL1norm,delta,mean,std,
pcm_RMSenergy_sma_de_stddev__std_over_time,pcm_RMSenergy,delta,std,std,
pcm_RMSenergy_sma_de_amean__std_over_time,pcm_RMSenergy,delta,mean,std,
pcm_zcr_sma_de_stddev__std_over_time,pcm_zcr,delta,std,std,
pcm_zcr_sma_de_amean__std_over_time,pcm_zcr,delta,mean,std,
audSpec_Rfilt_sma_de[0]_stddev__std_over_time,audSpec_Rfilt[0],delta,std,std,
audSpec_Rfilt_sma_de[0]_amean__std_over_time,audSpec_Rfilt[0],delta,mean,std,
audSpec_Rfilt_sma_de[1]_stddev__std_over_time,audSpec_Rfilt[1],delta,std,std,
audSpec_Rfilt_sma_de[1]_amean__std_over_time,audSpec_Rfilt[1],delta,mean,std,
audSpec_Rfilt_sma_de[2]_stddev__std_over_time,audSpec_Rfilt[2],delta,std,std,
audSpec_Rfilt_sma_de[2]_amean__std_over_time,audSpec_Rfilt[2],delta,mean,std,
audSpec_Rfilt_sma_de[3]_stddev__std_over_time,audSpec_Rfilt[3],delta,std,std,
audSpec_Rfilt_sma_de[3]_amean__std_over_time,audSpec_Rfilt[3],delta,mean,std,
audSpec_Rfilt_sma_de[4]_stddev__std_over_time,audSpec_Rfilt[4],delta,std,std,
audSpec_Rfilt_sma_de[4]_amean__std_over_time,audSpec_Rfilt[4],delta,mean,std,
audSpec_Rfilt_sma_de[5]_stddev__std_over_time,audSpec_Rfilt[5],delta,std,std,
audSpec_Rfilt_sma_de[5]_amean__std_over_time,audSpec_Rfilt[5],delta,mean,std,
audSpec_Rfilt_sma_de[6]_stddev__std_over_time,audSpec_Rfilt[6],delta,std,std,
audSpec_Rfilt_sma_de[6]_amean__std_over_time,audSpec_Rfilt[6],delta,mean,std,
audSpec_Rfilt_sma_de[7]_stddev__std_over_time,audSpec_Rfilt[7],delta,std,std,
audSpec_Rfilt_sma_de[7]_amean__std_over_time,audSpec_Rfilt[7],delta,mean,std,
audSpec_Rfilt_sma_de[8]_stddev__std_over_time,audSpec_Rfilt[8],delta,std,std,
audSpec_Rfilt_sma_de[8]_amean__std_over_time,audSpec_Rfilt[8],delta,mean,std,
audSpec_Rfilt_sma_de[9]_stddev__std_over_time,audSpec_Rfilt[9],delta,std,std,
audSpec_Rfilt_sma_de[9]_amean__std_over_time,audSpec_Rfilt[9],delta,mean,std,
audSpec_Rfilt_sma_de[10]_stddev__std_over_time,audSpec_Rfilt[10],delta,std,std,
audSpec_Rfilt_sma_de[10]_amean__std_over_time,audSpec_Rfilt[10],delta,mean,std,
audSpec_Rfilt_sma_de[11]_stddev__std_over_time,audSpec_Rfilt[11],delta,std,std,
audSpec_Rfilt_sma_de[11]_amean__std_over_time,audSpec_Rfilt[11],delta,mean,std,
audSpec_Rfilt_sma_de[12]_stddev__std_over_time,audSpec_Rfilt[12],delta,std,std,
audSpec_Rfilt_sma_de[12]_amean__std_over_time,audSpec_Rfilt[12],delta,mean,std,
audSpec_Rfilt_sma_de[13]_stddev__std_over_time,audSpec_Rfilt[13],delta,std,std,
audSpec_Rfilt_sma_de[13]_amean__std_over_time,audSpec_Rfilt[13],delta,mean,std,
audSpec_Rfilt_sma_de[14]_stddev__std_over_time,audSpec_Rfilt[14],delta,std,std,
audSpec_Rfilt_sma_de[14]_amean__std_over_time,audSpec_Rfilt[14],delta,mean,std,
audSpec_Rfilt_sma_de[15]_stddev__std_over_time,audSpec_Rfilt[15],delta,std,std,
audSpec_Rfilt_sma_de[15]_amean__std_over_time,audSpec_Rfilt[15],delta,mean,std,
audSpec_Rfilt_sma_de[16]_stddev__std_over_time,audSpec_Rfilt[16],delta,std,std,
audSpec_Rfilt_sma_de[16]_amean__std_over_time,audSpec_Rfilt[16],delta,mean,std,
audSpec_Rfilt_sma_de[17]_stddev__std_over_time,audSpec_Rfilt[17],delta,std,std,
audSpec_Rfilt_sma_de[17]_amean__std_over_time,audSpec_Rfilt[17],delta,mean,std,
audSpec_Rfilt_sma_de[18]_stddev__std_over_time,audSpec_Rfilt[18],delta,std,std,
audSpec_Rfilt_sma_de[18]_amean__std_over_time,audSpec_Rfilt[18],delta,mean,std,
audSpec_Rfilt_sma_de[19]_stddev__std_over_time,audSpec_Rfilt[19],delta,std,std,
audSpec_Rfilt_sma_de[19]_amean__std_over_time,audSpec_Rfilt[19],delta,mean,std,
audSpec_Rfilt_sma_de[20]_stddev__std_over_time,audSpec_Rfilt[20],delta,std,std,
audSpec_Rfilt_sma_de[20]_amean__std_over_time,audSpec_Rfilt[20],delta,mean,std,
audSpec_Rfilt_sma_de[21]_stddev__std_over_time,audSpec_Rfilt[21],delta,std,std,
audSpec_Rfilt_sma_de[21]_amean__std_over_time,audSpec_Rfilt[21],delta,mean,std,
audSpec_Rfilt_sma_de[22]_stddev__std_over_time,audSpec_Rfilt[22],delta,std,std,
audSpec_Rfilt_sma_de[22]_amean__std_over_time,audSpec_Rfilt[22],delta,mean,std,
audSpec_Rfilt_sma_de[23]_stddev__std_over_time,audSpec_Rfilt[23],delta,std,std,
audSpec_Rfilt_sma_de[23]_amean__std_over_time,audSpec_Rfilt[23],delta,mean,std,
audSpec_Rfilt_sma_de[24]_stddev__std_over_time,audSpec_Rfilt[24],delta,std,std,
audSpec_Rfilt_sma_de[24]_amean__std_over_time,audSpec_Rfilt[24],delta,mean,std,
audSpec_Rfilt_sma_de[25]_stddev__std_over_time,audSpec_Rfilt[25],delta,std,std,
audSpec_Rfilt_sma_de[25]_amean__std_over_time,audSpec_Rfilt[25],delta,mean,std,
pcm_fftMag_fband250-650_sma_de_stddev__std_over_time,pcm_fftMag_fband250-650,delta,std,std,
pcm_fftMag_fband250-650_sma_de_amean__std_over_time,pcm_fftMag_fband250-650,delta,mean,std,
pcm_fftMag_fband1000-4000_sma_de_stddev__std_over_time,pcm_fftMag_fband1000-4000,delta,std,std,
pcm_fftMag_fband1000-4000_sma_de_amean__std_over_time,pcm_fftMag_fband1000-4000,delta,mean,std,
pcm_fftMag_spectralRollOff25.0_sma_de_stddev__std_over_time,pcm_fftMag_spectralRollOff25.0,delta,std,std,
pcm_fftMag_spectralRollOff25.0_sma_de_amean__std_over_time,pcm_fftMag_spectralRollOff25.0,delta,mean,std,
pcm_fftMag_spectralRollOff50.0_sma_de_stddev__std_over_time,pcm_fftMag_spectralRollOff50.0,delta,std,std,
pcm_fftMag_spectralRollOff50.0_sma_de_amean__std_over_time,pcm_fftMag_spectralRollOff50.0,delta,mean,std,
pcm_fftMag_spectralRollOff75.0_sma_de_stddev__std_over_time,pcm_fftMag_spectralRollOff75.0,delta,std,std,
pcm_fftMag_spectralRollOff75.0_sma_de_amean__std_over_time,pcm_fftMag_spectralRollOff75.0,delta,mean,std,
pcm_fftMag_spectralRollOff90.0_sma_de_stddev__std_over_time,pcm_fftMag_spectralRollOff90.0,delta,std,std,
pcm_fftMag_spectralRollOff90.0_sma_de_amean__std_over_time,pcm_fftMag_spectralRollOff90.0,delta,mean,std,
pcm_fftMag_spectralFlux_sma_de_stddev__std_over_time,pcm_fftMag_spectralFlux,delta,std,std,
pcm_fftMag_spectralFlux_sma_de_amean__std_over_time,pcm_fftMag_spectralFlux,delta,mean,std,
pcm_fftMag_spectralCentroid_sma_de_stddev__std_over_time,pcm_fftMag_spectralCentroid,delta,std,std,
pcm_fftMag_spectralCentroid_sma_de_amean__std_over_time,pcm_fftMag_spectralCentroid,delta,mean,std,
pcm_fftMag_spectralEntropy_sma_de_stddev__std_over_time,pcm_fftMag_spectralEntropy,delta,std,std,
pcm_fftMag_spectralEntropy_sma_de_amean__std_over_time,pcm_fftMag_spectralEntropy,delta,mean,std,
pcm_fftMag_spectralVariance_sma_de_stddev__std_over_time,pcm_fftMag_spectralVariance,delta,std,std,
pcm_fftMag_spectralVariance_sma_de_amean__std_over_time,pcm_fftMag_spectralVariance,delta,mean,std,
pcm_fftMag_spectralSkewness_sma_de_stddev__std_over_time,pcm_fftMag_spectralSkewness,delta,std,std,
pcm_fftMag_spectralSkewness_sma_de_amean__std_over_time,pcm_fftMag_spectralSkewness,delta,mean,std,
pcm_fftMag_spectralKurtosis_sma_de_stddev__std_over_time,pcm_fftMag_spectralKurtosis,delta,std,std,
pcm_fftMag_spectralKurtosis_sma_de_amean__std_over_time,pcm_fftMag_spectralKurtosis,delta,mean,std,
pcm_fftMag_spectralSlope_sma_de_stddev__std_over_time,pcm_fftMag_spectralSlope,delta,std,std,
pcm_fftMag_spectralSlope_sma_de_amean__std_over_time,pcm_fftMag_spectralSlope,delta,mean,std,
pcm_fftMag_psySharpness_sma_de_stddev__std_over_time,pcm_fftMag_psySharpness,delta,std,std,
pcm_fftMag_psySharpness_sma_de_amean__std_over_time,pcm_fftMag_psySharpness,delta,mean,std,
pcm_fftMag_spectralHarmonicity_sma_de_stddev__std_over_time,pcm_fftMag_spectralHarmonicity,delta,std,std,
pcm_fftMag_spectralHarmonicity_sma_de_amean__std_over_time,pcm_fftMag_spectralHarmonicity,delta,mean,std,
pcm_fftMag_mfcc_sma_de[1]_stddev__std_over_time,pcm_fftMag_mfcc[1],delta,std,std,
pcm_fftMag_mfcc_sma_de[1]_amean__std_over_time,pcm_fftMag_mfcc[1],delta,mean,std,
pcm_fftMag_mfcc_sma_de[2]_stddev__std_over_time,pcm_fftMag_mfcc[2],delta,std,std,
pcm_fftMag_mfcc_sma_de[2]_amean__std_over_time,pcm_fftMag_mfcc[2],delta,mean,std,
pcm_fftMag_mfcc_sma_de[3]_stddev__std_over_time,pcm_fftMag_mfcc[3],delta,std,std,
pcm_fftMag_mfcc_sma_de[3]_amean__std_over_time,pcm_fftMag_mfcc[3],delta,mean,std,
pcm_fftMag_mfcc_sma_de[4]_stddev__std_over_time,pcm_fftMag_mfcc[4],delta,std,std,
pcm_fftMag_mfcc_sma_de[4]_amean__std_over_time,pcm_fftMag_mfcc[4],delta,mean,std,
pcm_fftMag_mfcc_sma_de[5]_stddev__std_over_time,pcm_fftMag_mfcc[5],delta,std,std,
pcm_fftMag_mfcc_sma_de[5]_amean__std_over_time,pcm_fftMag_mfcc[5],delta,mean,std,
pcm_fftMag_mfcc_sma_de[6]_stddev__std_over_time,pcm_fftMag_mfcc[6],delta,std,std,
pcm_fftMag_mfcc_sma_de[6]_amean__std_over_time,pcm_fftMag_mfcc[6],delta,mean,std,
pcm_fftMag_mfcc_sma_de[7]_stddev__std_over_time,pcm_fftMag_mfcc[7],delta,std,std,
pcm_fftMag_mfcc_sma_de[7]_amean__std_over_time,pcm_fftMag_mfcc[7],delta,mean,std,
pcm_fftMag_mfcc_sma_de[8]_stddev__std_over_time,pcm_fftMag_mfcc[8],delta,std,std,
pcm_fftMag_mfcc_sma_de[8]_amean__std_over_time,pcm_fftMag_mfcc[8],delta,mean,std,
pcm_fftMag_mfcc_sma_de[9]_stddev__std_over_time,pcm_fftMag_mfcc[9],delta,std,std,
pcm_fftMag_mfcc_sma_de[9]_amean__std_over_time,pcm_fftMag_mfcc[9],delta,mean,std,
pcm_fftMag_mfcc_sma_de[10]_stddev__std_over_time,pcm_fftMag_mfcc[10],delta,std,std,
pcm_fftMag_mfcc_sma_de[10]_amean__std_over_time,pcm_fftMag_mfcc[10],delta,mean,std,
pcm_fftMag_mfcc_sma_de[11]_stddev__std_over_time,pcm_fftMag_mfcc[11],delta,std,std,
pcm_fftMag_mfcc_sma_de[11]_amean__std_over_time,pcm_fftMag_mfcc[11],delta,mean,std,
pcm_fftMag_mfcc_sma_de[12]_stddev__std_over_time,pcm_fftMag_mfcc[12],delta,std,std,
pcm_fftMag_mfcc_sma_de[12]_amean__std_over_time,pcm_fftMag_mfcc[12],delta,mean,std,
pcm_fftMag_mfcc_sma_de[13]_stddev__std_over_time,pcm_fftMag_mfcc[13],delta,std,std,
pcm_fftMag_mfcc_sma_de[13]_amean__std_over_time,pcm_fftMag_mfcc[13],delta,mean,std,
pcm_fftMag_mfcc_sma_de[14]_stddev__std_over_time,pcm_fftMag_mfcc[14],delta,std,std,
pcm_fftMag_mfcc_sma_de[14]_amean__std_over_time,pcm_fftMag_mfcc[14],delta,mean,std,
